,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
rrnS,0.001444043,0.001083032,0.001083032,0.006137184,0.002888087,0.931046931,0.000361011,0,0.048736462,0.02599278,0.005054152,0.004693141,0.006137184,0.003610108,0.015884477,0.19133574,0.655956679,1,0.000361011,0.000361011,0.003610108,0.001444043,0.003249097,0.020216606,0,0.001083032,0.012635379,0.000361011,0.015162455,0.000722022,0.001444043,0.006498195,0.002166065,0.001083032,0.005415162
nad4,0.000361011,0.001083032,0.036462094,0.001083032,0.001805054,0,0.000361011,0.982310469,0.001083032,0,0.000722022,0.006859206,0.930685921,0.001444043,0.000722022,0,0.000722022,0.000361011,1,0.002166065,0.001083032,0.000361011,0,0.003610108,0.000361011,0.000361011,0.001805054,0.000722022,0.012635379,0.003971119,0,0.000722022,0.003971119,0.000722022,0.000361011
cox3,0.003610108,0.000361011,0.000361011,0.00433213,0.001444043,0.002166065,0.976173285,0,0.000722022,0.000361011,0.001444043,0.003971119,0.000361011,0.000361011,0.002527076,0.000361011,0.002888087,0.000361011,0.002166065,1,0.000361011,0.005054152,0.000722022,0.001444043,0.000361011,0.002888087,0.002527076,0.020577617,0.000361011,0.007581227,0.000361011,0.002166065,0.000722022,0.001444043,0.947292419
nad1,0.001083032,0.001083032,0.000722022,0.001444043,0.027075812,0.003249097,0,0.001083032,0.002888087,0.018772563,0.006498195,0.002527076,0.000722022,0.020577617,0.002888087,0.00433213,0.004693141,0.003610108,0.001083032,0.000361011,1,0.010830325,0,0.958483755,0.002166065,0.001805054,0.884115523,0.000722022,0.007581227,0.000361011,0.00866426,0.009386282,0.006859206,0.000722022,0.001444043
trnE,0.013357401,0.004693141,0.006137184,0.000361011,0.002166065,0.000722022,0.000722022,0.000722022,0.009025271,0.004693141,0.002888087,0.863537906,0.032129964,0.003971119,0.034296029,0.002888087,0.005415162,0.001444043,0.000361011,0.005054152,0.010830325,1,0.000361011,0.007942238,0.000361011,0.002166065,0.909386282,0.001805054,0.001083032,0.042599278,0.006137184,0.001444043,0.003610108,0.007220217,0.003971119
atp8,0.000361011,0.002166065,0,0.072202166,0.001083032,0.000722022,0.993862816,0.001083032,0.000361011,0,0.001083032,0.000361011,0.000361011,0,0.000361011,0.000361011,0.000722022,0.003249097,0,0.000722022,0,0.000361011,1,0,0.009386282,0,0.000722022,0,0,0.000361011,0,0.000361011,0.000722022,0.902527076,0.000722022
trnL,0.006859206,0.002527076,0.004693141,0.001805054,0.003610108,0.012274368,0.001083032,0.003249097,0.009386282,0.926353791,0.003971119,0.001805054,0.002888087,0.003249097,0.018772563,0.005415162,0.007581227,0.020216606,0.003610108,0.001444043,0.958483755,0.007942238,0,1,0.90433213,0.909386282,0.02599278,0.018050542,0.003249097,0.002166065,0.00866426,0.013718412,0.001444043,0.007942238,0.003971119
cox2,0.000722022,0.000361011,0.000722022,0.898916968,0.000361011,0.000361011,0.000361011,0,0.001083032,0.000361011,0.001805054,0.000361011,0.001805054,0,0.001083032,0.000361011,0.001083032,0,0.000361011,0.000361011,0.002166065,0.000361011,0.009386282,0.90433213,1,0.076173285,0.002166065,0.001805054,0.005776173,0.001805054,0.001083032,0.001805054,0.000361011,0.079422383,0.001805054
cox1,0.000722022,0.001805054,0,0.000722022,0,0.000361011,0.000361011,0.000361011,0.002166065,0.001083032,0.039711191,0.001083032,0.001444043,0.001444043,0.001083032,0.002527076,0.008303249,0.001083032,0.000361011,0.002888087,0.001805054,0.002166065,0,0.909386282,0.076173285,1,0.003249097,0.006137184,0.867509025,0,0.001444043,0.049819495,0.000361011,0.001083032,0.012635379
trnS,0.036101083,0.005054152,0.002888087,0.002166065,0.014440433,0.005054152,0.003610108,0.002527076,0.019133574,0.007942238,0.006137184,0.029963899,0.003249097,0.024909747,0.915523466,0.013718412,0.01732852,0.012635379,0.001805054,0.002527076,0.884115523,0.909386282,0.000722022,0.02599278,0.002166065,0.003249097,1,0.003249097,0.012635379,0.025631769,0.957761733,0.012635379,0.007581227,0.005776173,0.001444043
nad3,0.883032491,0.000361011,0.003249097,0.001805054,0.000361011,0.004693141,0.000361011,0.000361011,0.000722022,0,0.001083032,0.002888087,0.000361011,0.001444043,0.011552347,0.002527076,0.002166065,0.000361011,0.000722022,0.020577617,0.000722022,0.001805054,0,0.018050542,0.001805054,0.006137184,0.003249097,1,0.002527076,0.066425993,0.001083032,0.001805054,0.000722022,0.003610108,0.95198556
trnY,0.001805054,0.009747292,0.001444043,0.013357401,0.006859206,0.001805054,0.001083032,0.000361011,0.021299639,0.002888087,0.073646209,0.00433213,0.000722022,0.005054152,0.002888087,0.007220217,0.010830325,0.015162455,0.012635379,0.000361011,0.007581227,0.001083032,0,0.003249097,0.005776173,0.867509025,0.012635379,0.002527076,1,0.000722022,0.005054152,0.892057762,0.000361011,0.000722022,0.000722022
trnR,0.906859206,0.001444043,0.002166065,0.002527076,0,0.00433213,0.000722022,0.004693141,0.000722022,0.005054152,0.000722022,0.015884477,0.001805054,0.003971119,0.867148014,0.004693141,0.003610108,0.000722022,0.003971119,0.007581227,0.000361011,0.042599278,0.000361011,0.002166065,0.001805054,0,0.025631769,0.066425993,0.000722022,1,0.001083032,0.003610108,0.001083032,0.003249097,0.004693141
cob,0.000361011,0.001083032,0.001805054,0.002166065,0.006859206,0.000722022,0,0.013357401,0.000722022,0.000361011,0.002166065,0.001805054,0.002888087,0.008303249,0.000361011,0.003610108,0.016245487,0.001444043,0,0.000361011,0.00866426,0.006137184,0,0.00866426,0.001083032,0.001444043,0.957761733,0.001083032,0.005054152,0.001083032,1,0.006498195,0.935379061,0,0.001083032
trnC,0.001805054,0.035740072,0.000722022,0.000722022,0.00433213,0,0.000722022,0.001805054,0.042238267,0.001805054,0.853429603,0.001444043,0.002166065,0.000722022,0.001083032,0.016967509,0.019494585,0.006498195,0.000722022,0.002166065,0.009386282,0.001444043,0.000361011,0.013718412,0.001805054,0.049819495,0.012635379,0.001805054,0.892057762,0.003610108,0.006498195,1,0.003610108,0.000361011,0.001805054
nad6,0.005054152,0.000722022,0.000361011,0.001083032,0.91299639,0.008303249,0,0.014440433,0.000722022,0.002888087,0,0.001805054,0.001083032,0.062093863,0.000361011,0.000722022,0.014079422,0.002166065,0.003971119,0.000722022,0.006859206,0.003610108,0.000722022,0.001444043,0.000361011,0.000361011,0.007581227,0.000722022,0.000361011,0.001083032,0.935379061,0.003610108,1,0.000361011,0.000722022
trnD,0.001083032,0.004693141,0.001083032,0.942960289,0.002166065,0.001444043,0.002166065,0.000361011,0.003249097,0.000361011,0.001083032,0.000722022,0.001444043,0.000361011,0.005054152,0.004693141,0.002166065,0.001083032,0.000722022,0.001444043,0.000722022,0.007220217,0.902527076,0.007942238,0.079422383,0.001083032,0.005776173,0.003610108,0.000722022,0.003249097,0,0.000361011,0.000361011,1,0.001083032
trnG,0.005054152,0.001805054,0.001805054,0.006498195,0.001805054,0.004693141,0.003610108,0.000361011,0.001083032,0.001083032,0.015162455,0.001083032,0.000361011,0.005054152,0.003610108,0.001444043,0,0.005415162,0.000361011,0.947292419,0.001444043,0.003971119,0.000722022,0.003971119,0.001805054,0.012635379,0.001444043,0.95198556,0.000722022,0.004693141,0.001083032,0.001805054,0.000722022,0.001083032,1
