,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
rrnS,0.0,0.20657276995305165,0.14084507042253522,0.0,0.0,0.0,0.07042253521126761,0.0,0.0,0.009389671361502348,0.004694835680751174,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,1,0.38028169014084506,0.3474178403755869,0.24882629107981222,0.0,0.0,0.0,0.0892018779342723,0.2535211267605634,0.0,0.009389671361502348,0.0,0.0,0.018779342723004695,0.0,0.14084507042253522,0.0,0.0
nad4,0.0,0.0,0.24882629107981222,0.0,0.0,0.0,0.3427230046948357,0.018779342723004695,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.2300469483568075,0.0,0.38028169014084506,1,0.0,0.13615023474178403,0.0,0.0,0.0,0.17370892018779344,0.004694835680751174,0.004694835680751174,0.0,0.0,0.0,0.13615023474178403,0.0,0.24413145539906103,0.0,0.0
cox3,0.0,0.023474178403755867,0.0,0.0,0.0,0.0,0.38497652582159625,0.004694835680751174,0.0,0.107981220657277,0.004694835680751174,0.0,0.0,0.0,0.0,0.3615023474178404,0.0,0.3474178403755869,0.0,1,0.0,0.0,0.0,0.0,0.39436619718309857,0.11737089201877934,0.0,0.0,0.0,0.0,0.09389671361502347,0.0,0.0,0.0,0.0
nad1,0.0,0.0,0.23943661971830985,0.0,0.0,0.0,0.014084507042253521,0.14084507042253522,0.004694835680751174,0.03755868544600939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24882629107981222,0.13615023474178403,0.0,1,0.004694835680751174,0.0,0.004694835680751174,0.0,0.0,0.0,0.20187793427230047,0.0,0.0,0.6384976525821596,0.0,0.009389671361502348,0.0,0.0
trnE,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0
atp8,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.5868544600938967,0.1784037558685446,0.0,0.0,0.41784037558685444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.004694835680751174,0.27230046948356806,0.3427230046948357,0.0,0.056338028169014086,0.0,0.0,0.004694835680751174,0.0,0.018779342723004695,0.0,0.0
trnL,0.0,0.004694835680751174,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.004694835680751174,1,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0
cox2,0.0,0.07511737089201878,0.009389671361502348,0.0,0.0,0.0,0.0,0.38967136150234744,0.0,0.028169014084507043,0.13145539906103287,0.0,0.0,0.0,0.0,0.0,0.0,0.0892018779342723,0.17370892018779344,0.39436619718309857,0.0,0.0,0.27230046948356806,0.0,1,0.3051643192488263,0.0,0.004694835680751174,0.004694835680751174,0.0,0.014084507042253521,0.0,0.0,0.0,0.0
cox1,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.08450704225352113,0.0,0.11737089201877934,0.014084507042253521,0.004694835680751174,0.0,0.0,0.0,0.3333333333333333,0.004694835680751174,0.2535211267605634,0.004694835680751174,0.11737089201877934,0.0,0.0,0.3427230046948357,0.004694835680751174,0.3051643192488263,1,0.0,0.004694835680751174,0.004694835680751174,0.0,0.046948356807511735,0.0,0.028169014084507043,0.0,0.0
trnS,0.0,0.004694835680751174,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0
nad3,0.0,0.03286384976525822,0.0,0.0,0.0,0.0,0.0,0.784037558685446,0.0,0.0,0.215962441314554,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.009389671361502348,0.0,0.0,0.20187793427230047,0.0,0.056338028169014086,0.0,0.004694835680751174,0.004694835680751174,0.0,1,0.0,0.0,0.009389671361502348,0.0,0.38497652582159625,0.0,0.0
trnY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.004694835680751174,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
trnR,0.0,0.004694835680751174,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
cob,0.0,0.3474178403755869,0.009389671361502348,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.03286384976525822,0.0,0.0,0.0,0.0,0.0,0.107981220657277,0.0,0.018779342723004695,0.13615023474178403,0.09389671361502347,0.6384976525821596,0.004694835680751174,0.004694835680751174,0.004694835680751174,0.014084507042253521,0.046948356807511735,0.004694835680751174,0.009389671361502348,0.0,0.0,1,0.0,0.39906103286384975,0.0,0.004694835680751174
trnC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
nad6,0.0,0.352112676056338,0.009389671361502348,0.0,0.0,0.0,0.38028169014084506,0.0,0.0,0.0,0.014084507042253521,0.004694835680751174,0.0,0.0,0.0,0.004694835680751174,0.0,0.14084507042253522,0.24413145539906103,0.0,0.009389671361502348,0.0,0.018779342723004695,0.0,0.0,0.028169014084507043,0.0,0.38497652582159625,0.0,0.0,0.39906103286384975,0.0,1,0.0,0.0
trnD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
trnG,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.004694835680751174,0.004694835680751174,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.0,0.0,0.0,1
